year,n_events,total_mhw_days,max_intensity_degC,mean_intensity_degC,longest_event_days,region
1984,3,30,1.0229997634887695,0.4796852588653564,12,Gulf of Naples
1985,1,17,0.7489990234374986,0.39058813207289717,17,Gulf of Naples
1986,2,14,1.0910003662109382,0.4695716449192588,7,Gulf of Naples
1987,3,33,1.6659984588623047,0.47259178508411764,22,Gulf of Naples
1988,4,31,0.5439998626708977,0.1975019785532584,13,Gulf of Naples
1990,3,43,1.2980004310607907,0.3775824635544101,26,Gulf of Naples
1992,1,7,0.7389999389648452,0.3512854984828405,7,Gulf of Naples
1994,2,28,0.9459991455078125,0.29589454015096006,18,Gulf of Naples
1995,2,13,0.6700002670288079,0.3022738434019542,7,Gulf of Naples
1997,1,6,0.6250015258789077,0.4153333028157551,6,Gulf of Naples
1999,1,8,0.4090003967285156,0.1859998464584347,8,Gulf of Naples
2000,1,8,0.811999893188478,0.39712514877319327,8,Gulf of Naples
2001,2,39,1.1330005645751946,0.42194991270701077,24,Gulf of Naples
2002,1,12,1.1079996109008796,0.598166259129842,12,Gulf of Naples
2003,6,90,2.601000595092774,0.8249625676058686,33,Gulf of Naples
2004,2,25,1.4609998703002915,0.6337709565957387,16,Gulf of Naples
2005,3,28,0.9860004425048814,0.41962715269445044,13,Gulf of Naples
2006,6,40,1.9359996795654304,0.5035238018237721,9,Gulf of Naples
2007,8,83,2.1999998092651367,0.46123719220959847,19,Gulf of Naples
2009,3,21,1.2900009155273438,0.5365821185256493,11,Gulf of Naples
2010,1,10,1.3279987335205057,0.7971999740600584,10,Gulf of Naples
2011,3,44,1.4339986801147475,0.40355887288288944,22,Gulf of Naples
2012,6,76,1.3370010375976555,0.3838706361784327,19,Gulf of Naples
2013,5,87,1.9139996528625485,0.6608052189191179,32,Gulf of Naples
2014,5,133,1.9329986572265625,0.6088912611257463,64,Gulf of Naples
2015,12,144,1.7400003433227553,0.5121747935753859,27,Gulf of Naples
2016,5,54,1.352999114990233,0.4795512198266527,24,Gulf of Naples
2017,6,48,1.753999805450439,0.514311545336688,10,Gulf of Naples
2018,8,144,2.2519983291625962,0.6964912240961076,46,Gulf of Naples
2019,6,196,1.3829994201660156,0.4996012162209393,80,Gulf of Naples
2020,4,47,1.8539987564086928,0.5270130189982326,20,Gulf of Naples
2021,6,103,1.468000030517576,0.4340114620917344,37,Gulf of Naples
2022,7,237,1.9060005187988267,0.7525349720225868,70,Gulf of Naples
2023,4,216,3.1279998779296854,0.6994819168499014,169,Gulf of Naples
2024,4,180,2.7059993743896484,0.9769980630317292,77,Gulf of Naples
