year,n_events,total_mhw_days,max_intensity_degC,mean_intensity_degC,longest_event_days,region
1987,1,15,0.8003011703491225,0.4776701354980467,15,Mediterranean Sea
1990,3,42,0.3849575042724602,0.1376649926200745,21,Mediterranean Sea
1994,2,24,0.3117395401000991,0.1693294525146482,15,Mediterranean Sea
1995,1,8,0.12915449142456126,0.06995613574981685,8,Mediterranean Sea
1997,1,5,0.12494421005249023,0.06488817214965792,5,Mediterranean Sea
1998,1,5,0.09753885269165075,0.06230484008789041,5,Mediterranean Sea
1999,2,19,0.6868225097656264,0.21631218910217315,14,Mediterranean Sea
2000,2,33,0.3605600357055678,0.17235756301879862,25,Mediterranean Sea
2001,5,77,0.7282472610473629,0.23305325984697428,26,Mediterranean Sea
2002,1,18,0.5583717346191399,0.17904596328735323,18,Mediterranean Sea
2003,4,121,1.4588415145874016,0.41110507056384304,49,Mediterranean Sea
2004,2,33,0.5502218246459947,0.2145606861114499,25,Mediterranean Sea
2006,4,46,0.755274772644043,0.2244414810292492,23,Mediterranean Sea
2007,6,55,0.39768276214599574,0.15341318510196825,20,Mediterranean Sea
2008,2,14,0.31786642074584925,0.11041663090388025,8,Mediterranean Sea
2009,6,53,0.45752620697021484,0.18807479613866582,13,Mediterranean Sea
2010,3,37,0.7319824218749993,0.2553978247391548,19,Mediterranean Sea
2011,6,82,1.0689798355102553,0.20917004245929627,24,Mediterranean Sea
2012,8,163,1.1096109390258775,0.34608459583314655,79,Mediterranean Sea
2013,5,57,0.9136564254760735,0.24516130241171105,22,Mediterranean Sea
2014,7,219,1.2201789855957017,0.3223264675016994,99,Mediterranean Sea
2015,10,296,1.1142219543457017,0.2944998292523022,121,Mediterranean Sea
2016,5,178,1.4547442436218265,0.38169201647972545,100,Mediterranean Sea
2017,8,132,1.201126289367675,0.34489962285892517,40,Mediterranean Sea
2018,11,256,1.4751548767089844,0.24914042238465942,75,Mediterranean Sea
2019,3,259,1.0298353195190444,0.4262346418572717,222,Mediterranean Sea
2020,5,278,1.438949394226075,0.35035301898594984,239,Mediterranean Sea
2021,5,191,1.0675970077514663,0.23617197753670788,85,Mediterranean Sea
2022,3,307,1.5287993431091298,0.6327934893706639,177,Mediterranean Sea
2023,5,327,2.1425970077514656,0.4612937912839584,265,Mediterranean Sea
2024,2,203,1.9741445541381815,0.776549248030164,177,Mediterranean Sea
